% f evaluations | g evaluations | best noise-free fitness - Fopt (6.870000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1205 0 +5.343992212e+00 -5.259600779e+01 -5.259600779e+01
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.253900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.083721159e+01 +1.462272116e+02 +1.462272116e+02
2 0 +1.722674949e+01 +1.426167495e+02 +1.426167495e+02
3 0 +1.530730519e+01 +1.406973052e+02 +1.406973052e+02
4 0 +1.059127907e+01 +1.359812791e+02 +1.359812791e+02
10 0 +9.560835464e+00 +1.349508355e+02 +1.349508355e+02
39 0 +8.743474727e+00 +1.341334747e+02 +1.341334747e+02
44 0 +7.023297928e+00 +1.324132979e+02 +1.324132979e+02
213 0 +6.357899354e+00 +1.317478994e+02 +1.317478994e+02
1407 0 +6.252909334e+00 +1.316429093e+02 +1.316429093e+02
2312 0 +5.403115049e+00 +1.307931150e+02 +1.307931150e+02
